RESID,NAME,ADDRESS,CONTACT,TIMINGS,DAYS OPEN,CUISINE,DINING RATING,DELIVERY RATING,KNOWN FOR,PEOPLE LIKED,TOP DISHES,HIGHLIGHTS,AVERAGE COST
3400868,Hichkee,"6/27/1A, Hotel Alleviate, Yamuna Kinara Road, Belanganj, Civil Lines, Agra","+917055018203, +917055018204, +917055018209",11:30am - 10:30am,Mon-Sun,"Continental, North Indian, Chinese",4.5,4.1,,"Courteous Staff, Valet Service, Prompt Service, Rooftop Ambience, Rooftop Setting, Decor","Pizza, Pasta, Momos, Biryani, Veg Platter, Fish, Noodle","Home Delivery, Full Bar Available, Rooftop, Table booking recommended, Indoor Seating, ","Rs. 1,200 for two people (approx.) Without alcohol"
3400326,Tea'se Me - Rooftop Tea Boutique,"18/159D, Hotel M House, Fatehabad Road, Near Purani Mandi, Tajganj, Agra","+919997986867, +917060006867",12noon - 11:30pm,Mon-Sun,"Chinese, Italian, Continental, North Indian",4.6,3.5,,"Courteous Staff, Friendly Staff, Valet Service, Rooftop Ambience, Decor, Cozy","Pasta, Tea, Pizza, Waffles, Death By Chocolate, Nachos, Falafel","Home Delivery, Serves Alcohol, Live Sports Screening, Rooftop, Outdoor Seating, Wifi, ","Rs. 1,000 for two people (approx.) Without alcohol"
3400105,Pizza Hut,"8, Handicraft Nagar, Fatehabad Road, Tajganj, Agra","+915624064051, +919997205350",11am - 11pm,Mon-Sun,"Pizza, Fast Food, Finger Food, American",4.3,4.1,Pan Pizzas,Friendly Staff,"Pizza, Pasta, Garlic Bread, Salad","Home Delivery, Table Reservation Not Required, Indoor Seating, Desserts and Bakes, Free Wifi, Outdoor Seating, ",Rs. 600 for two people (approx.)
3400469,Papa Ji Da Dhaba,"Delhi Gate, Raja Mandi Station Road, Civil Lines, Agra","+918077436643, +919634443433",10:30am - 11pm,Mon-Sun,North Indian,4.3,4.3,,,"Dal Makhani, Shahi Paneer, Kadhai Paneer, Kadai Paneer","Home Delivery, Vegetarian Only, Indoor Seating, ",Rs. 250 for two people (approx.)
3400296,Honeydew Restaurant,"Opposite Soami Bagh Temple, Dayal Bagh, Agra",+918433052206,11am - 11pm,Mon-Sun,"North Indian, Fast Food, Chinese, South Indian",4.5,3.9,,Friendly Staff,"Shahi Paneer, Malai Kofta, Paneer Pasanda, Thali, Panneer Butter Masala, Kaju Curry, Pav Bhaji","Home Delivery, Vegetarian Only, Indoor Seating, Table booking recommended, ",Rs. 500 for two people (approx.)
3400010,GMB - Gopika Sweets & Restaurant,"Crystal Tower, Fatehabad Road, Tajganj, Agra","+917534903131, +919319553131",8am - 11pm,Mon-Sun,"Desserts, North Indian, South Indian, Chinese, Fast Food, Street Food",4.1,4.0,,,"Noodle, Chaat, Thali, Aloo Tikki, Chole Bhature, Chowmein, Raj Kachori","Breakfast, Home Delivery, Vegetarian Only, Wifi, Outdoor Seating, ",Rs. 400 for two people (approx.)
3400021,Chokho Jeeman Marwari Jain Bhojanalya,"1/48, Delhi Gate, Station Road, Raja Mandi, Civil Lines, Agra","+918392883997, +915624040338","11am - 4pm, 6:30pm - 8:30pm",Mon-Sun,Rajasthani,4.5,4.4,,"Courteous Staff, Prompt Service","Gatte Ki Subzi, Rajasthani Thali, Buttermilk, Kadhi, Salad, Tawa Roti","Home Delivery, Vegetarian Only, Serves Jain Food, Indoor Seating, ",Rs. 400 for two people (approx.)
3401492,Chimmanlal Puri Wale,"Daresi Road, Jama Masjid, Kinari Bazar, Sheb Bazar, Mantola, Agra",+919897949405,7am - 10pm,Mon-Sun,"North Indian, Street Food, Mithai",4.1,4.1,,,"Thali, Gulab Jamun, Salad, Chole Bhature","Breakfast, Home Delivery, Indoor Seating, ",Rs. 150 for two people (approx.)
3400475,Amritsari Kulcha Junction,"Deepshikha Building, Wazirpura tRoad, Sanjay Place, Civil Lines, Agra",+919761982666,1:05pm - 10:50pm,Mon-Sun,"North Indian, Chinese, Rolls, Beverages",4.1,4.2,,,"Chaap, Dal Makhani, Onion Kulcha, Paneer Tikka, Raita, Lassi, Rumali Roti","Home Delivery, Vegetarian Only, Indoor Seating, ",Rs. 600 for two people (approx.)
3400712,The Greener Side,Delhi Gate Rd,+917838113476,12noon - 10pm,Mon-Sun,"Fast Food, Wraps, Desserts, Beverages",,4.3,,,"Waffles, Burgers, Oreo Shake, Nutella Waffle, Peri Peri Fries, Corn Sandwich, Supreme Burger","Home Delivery, ",Rs. 300 for two people (approx.)
